Text,Category,Emotion,Severity
He played the guitar with joyful abandon.,Positive,Happy,'
She applauded with both hands and her heart.,Positive,Happy,'
The day was a string of beautiful surprises.,Positive,Happy,'
"He waved with a bright, openhearted smile.",Positive,Happy,'
The smell of cinnamon awakened cozy joy.,Positive,Happy,'
She cheered like she’d won the lottery.,Positive,Happy,'
He skipped breakfast but couldn’t skip smiling.,Positive,Happy,'
They danced like nobody was watching—happily so.,Positive,Happy,'
She sent a text full of sunshine and emojis.,Positive,Happy,'
The cat purred like a warm engine of peace.,Positive,Happy,'
The journal entry was filled with happy thoughts.,Positive,Happy,'
The park was alive with laughter and sunshine.,Positive,Happy,'
She welcomed me with a glowing embrace.,Positive,Happy,'
The balloons bobbed like colorful bundles of glee.,Positive,Happy,'
He picked wildflowers with a boyish grin.,Positive,Happy,'
"They toasted to love, life, and light.",Positive,Happy,'
"I strolled home, whistling without realizing.",Positive,Happy,'
The children’s joy was louder than the music.,Positive,Happy,'
She poured tea and joy in equal measure.,Positive,Happy,'
The artist beamed beside her masterpiece.,Positive,Happy,'
He found the last cookie and smiled triumphantly.,Positive,Happy,'
The trip was full of small wonders and smiles.,Positive,Happy,'
Her surprise visit made the day unforgettable.,Positive,Happy,'
The dog barked with tail-wagging excitement.,Positive,Happy,'
He read the note and laughed aloud.,Positive,Happy,'
The evening breeze whispered calm and contentment.,Positive,Happy,'
They sang along to the song with joy in their voices.,Positive,Happy,'
The bouquet looked like a painting of joy.,Positive,Happy,'
She lit a can,Positive,Happy,'
The coffee shop buzzed with morning happiness.,Positive,Happy,'
She finished the puzzle and raised her arms in triumph.,Positive,Happy,'
His surprise hug made my whole day brighter.,Positive,Happy,'
They clapped along with big grins on their faces.,Positive,Happy,'
The swing set creaked with the rhythm of joy.,Positive,Happy,'
He discovered his favorite snack and smiled wide.,Positive,Happy,'
She waved excitedly from across the room.,Positive,Happy,'
The rainbow appeared just as we finished the story.,Positive,Happy,'
He shared the news with sparkling eyes.,Positive,Happy,'
They popped confetti with loud cheers.,Positive,Happy,'
The chalkboard message read “Today is a good day.”,Positive,Happy,'
She tied her shoes with a bounce in her step.,Positive,Happy,'
The stars seemed to celebrate with us.,Positive,Happy,'
He poured cocoa with whipped cream and joy.,Positive,Happy,'
The morning walk felt like a reset for the soul.,Positive,Happy,'
The classroom walls were full of color and smiles.,Positive,Happy,'
She gave a high-five with gleeful energy.,Positive,Happy,'
His playlist was a symphony of cheerfulness.,Positive,Happy,'
"They posed for a photo, all beaming together.",Positive,Happy,'
The fountain sparkled in the midday sun.,Positive,Happy,'
She doodled hearts around their names.,Positive,Happy,'
The hat she wore made everyone laugh joyfully.,Positive,Happy,'
He received the postcard and smiled for hours.,Positive,Happy,'
The kitten chased the ribbon with wide-eyed delight.,Positive,Happy,'
"They danced in the living room, lost in joy.",Positive,Happy,'
The day ended with a peaceful glow.,Positive,Happy,'
She planted the flowers and felt refreshed.,Positive,Happy,'
The sound of clinking glasses marked the celebration.,Positive,Happy,'
He found a note that made his heart smile.,Positive,Happy,'
The scooter ride made her laugh nonstop.,Positive,Happy,'
We roasted marshmallows and laughed by the fire.,Positive,Happy,'
She twirled with her scarf in the autumn breeze.,Positive,Happy,'
The surprise visit ended with hugs all around.,Positive,Happy,'
"The bell rang, and they all cheered.",Positive,Happy,'
She opened the bookshop door like it was treasure.,Positive,Happy,'
He shared his blanket and his laughter.,Positive,Happy,'
The parade passed with joy and wonder.,Positive,Happy,'
Her cupcake had a hidden heart inside.,Positive,Happy,'
The water balloons burst with squeals of joy.,Positive,Happy,'
He discovered a happy song stuck in his head.,Positive,Happy,'
She sent emojis that danced across the screen.,Positive,Happy,'
We clinked mugs of cocoa under the stars.,Positive,Happy,'
The swing lifted her spirits higher than ever.,Positive,Happy,'
His gift was wrapped with colorful love.,Positive,Happy,'
The chalkboard listed “Reasons to Smile.”,Positive,Happy,'
She colored the day with crayons and delight.,Positive,Happy,'
"They ran barefoot through the wet grass, laughing.",Positive,Happy,'
The festival food tasted like childhood joy.,Positive,Happy,'
He stacked the pancakes like a champion.,Positive,Happy,'
She clapped her hands in delighted surprise.,Positive,Happy,'
The surprise message made my whole week.,Positive,Happy,'
We passed the time with smiles and games.,Positive,Happy,'
She wore a flower crown and glowed.,Positive,Happy,'
"He danced with headphones on, completely happy.",Positive,Happy,'
The baby reached out with chubby joy.,Positive,Happy,'
They smiled at the same moment and laughed.,Positive,Happy,'
Her story made me laugh out loud.,Positive,Happy,'
The ice cream truck played our happy tune.,Positive,Happy,'
He unwrapped the gift with shining eyes.,Positive,Happy,'
She lit the candles and made a quiet wish.,Positive,Happy,'
The quiet morning was a perfect kind of bliss.,Positive,Happy,'
He walked in with balloons and bright energy.,Positive,Happy,'
We raced through the rain and shouted with joy.,Positive,Happy,'
Her favorite song came on at the perfect time.,Positive,Happy,'
He patted the dog and grinned.,Positive,Happy,'
She blew bubbles into the wind and giggled.,Positive,Happy,'
The tea party was full of cheerful chatter.,Positive,Happy,'
They posed with funny faces and wide grins.,Positive,Happy,'
He packed the picnic with snacks and smiles.,Positive,Happy,'
She wore her joy like a bright scarf.,Positive,Happy,'
The gift was tiny but full of heart.,Positive,Happy,'
He found his old toy and smiled with nostalgia.,Positive,Happy,'
The field glowed golden in the evening light.,Positive,Happy,'
She laughed until tears filled her eyes.,Positive,Happy,'
The pillow fort became a kingdom of joy.,Positive,Happy,'
He found the lucky penny and grinned.,Positive,Happy,'
She jumped into the pool with happy shouts.,Positive,Happy,'
The photo frame held a perfect memory.,Positive,Happy,'
He played hopscotch like a kid again.,Positive,Happy,'
She organized the party with gleaming pride.,Positive,Happy,'
The sparkler lit up her face with glee.,Positive,Happy,'
They sang the whole car ride home.,Positive,Happy,'
He carried the cake with careful joy.,Positive,Happy,'
The basket overflowed with fresh-picked joy.,Positive,Happy,'
Her lipstick matched her sunny mood.,Positive,Happy,'
The card was handmade and full of love.,Positive,Happy,'
They shared stories that made everyone grin.,Positive,Happy,'
He found his journal full of happy sketches.,Positive,Happy,'
She threw flower petals and clapped with joy.,Positive,Happy,'
We walked through the orchard laughing together.,Positive,Happy,'
The smell of vanilla made everything better.,Positive,Happy,'
She named her plant “Joy.”,Positive,Happy,'
The hike ended in cheerful exhaustion.,Positive,Happy,'
He serenaded the group with a cheerful tune.,Positive,Happy,'
She arranged her books and smiled.,Positive,Happy,'
The dog wagged its tail like a metronome of joy.,Positive,Happy,'
The craft table buzzed with creativity and giggles.,Positive,Happy,'
They built a castle out of sand and laughter.,Positive,Happy,'
He greeted everyone with high fives and jokes.,Positive,Happy,'
"She whispered good news in my ear, and we giggled.",Positive,Happy,'
We stood under the stars and just smiled.,Positive,Happy,'
That was not good at all.                   ,Negative,Anger,High
His attitude is not good lately.          ,Negative,Anger,Moderate
The results were not good enough.           ,Negative,Sad,Low
My experience with them was not good.      ,Negative,Sad,Moderate
Things are not good between us.             ,Negative,Sad,Moderate
That choice was definitely not good.        ,Negative,Anger,Low
I feel nothing.,Neutral,Neutral,'
I’m feeling not good about this.            ,Negative,Fear,High
That decision was not good in hindsight.    ,Negative,Sad,Moderate
The food was really good.                  ,Positive,Happy,'
She had a good time at the event.           ,Positive,Happy,'
Everything felt so good today.               ,Positive,Happy,'
He did a good job on the project.            ,Positive,Happy,'
It’s good to see things going well.        ,Positive,Happy,'
The weather is surprisingly good.           ,Positive,Happy,'
She gave me some good advice.              ,Positive,Happy,'
That was a good decision.                ,Positive,Happy,'
We had a good laugh together.             ,Positive,Happy,'
His performance was very good.              ,Positive,Happy,'
The food was not bad at all.                        ,Positive,Happy,'
His performance was not bad considering the time.    ,Neutral,Neutral,'
That movie was not bad — I kinda liked it.           ,Positive,Happy,'
This place is not bad for a small town.              ,Neutral,Neutral,'
The weather is not bad today.                        ,Positive,Happy,'
Your idea is actually not bad.                    ,Positive,Happy,'
She did not bad in the final round.                  ,Positive,Happy,'
This phone is not bad for the price.                 ,Neutral,Neutral,'
The exam was not bad as I expected.                 ,Positive,Happy,'
I am feeling not bad today.,Positive,Happy,'
That movie was not bad at all.,Neutral,Neutral,'
"Honestly, it turned out not bad.",Positive,Happy,'
The weather is not bad this morning.,Positive,Happy,'
Her cooking was actually not bad.,Neutral,Neutral,'
Things are not bad between us now.,Neutral,Neutral,'
This idea seems not bad to me.,Neutral,Neutral,'
Your presentation was not bad.,Positive,Happy,'
That wasn’t bad — I liked it.,Positive,Happy,'
He’s doing not bad lately.,Positive,Happy,'
The trip was not bad overall.,Positive,Happy,'
This phone is not bad for the price.,Neutral,Neutral,'
Not bad! That’s a decent result.,Positive,Happy,'
The meeting was long but not bad.,Neutral,Neutral,'
She handled the situation not bad.,Neutral,Neutral,'
Your drawing is not bad at all!,Positive,Happy,'
Not bad at all for a first attempt.,Positive,Happy,'
I am having a severe headache                       ,Negative,Sad,High
My back is hurting badly                             ,Negative,Sad,High
I feel drained and my body is aching                 ,Negative,Sad,Moderate
I have mild body pain today                           ,Negative,Sad,Low
There’s a constant pain in my shoulders               ,Negative,Sad,Moderate
My head feels like it's going to explode           ,Negative,Sad,High
I have a dull ache in my legs                         ,Negative,Sad,Low
This headache won’t go away                       ,Negative,Sad,Moderate
I’m experiencing intense muscle cramps                ,Negative,Sad,High
I feel weak and everything aches                 ,Negative,Sad,High
I have been dealing with a stiff neck all day        ,Negative,Fear,Low
There’s a sharp pain in my chest                  ,Negative,Sad,High
I feel sick and sore all over                         ,Negative,Sad,Moderate
My body feels heavy and uncomfortable                ,Negative,Sad,Moderate
I have a slight pain in my back                  ,Negative,Sad,Low
I can't focus because of this headache            ,Negative,Sad,Moderate
Every muscle in my body hurts                     ,Negative,Sad,High
My arms feel sore from yesterday                     ,Negative,Sad,Low
I’m feeling unwell with body aches               ,Negative,Sad,Moderate
There’s a throbbing pain behind my eyes              ,Negative,Sad,High
I’ve been dizzy and achy since morning                ,Negative,Sad,Moderate
I feel sick and my joints are aching                  ,Negative,Sad,High
The headache is mild but annoying                     ,Negative,Sad,Low
My body is sore after work                            ,Negative,Sad,Low
I’m struggling with body pain all over                ,Negative,Sad,High
I feel uncomfortable because of this back pain        ,Negative,Sad,Moderate
There’s tension building up in my neck and shoulders  ,Negative,Sad,Moderate
I’m exhausted and sore from head to toe               ,Negative,Sad,High
"I’m not sad, just indifferent.",Neutral,Neutral,'
I don’t feel particularly emotional right now.,Neutral,Neutral,'
"I'm not upset, just observing.",Neutral,Neutral,'
"I’m not unhappy, just thinking.",Neutral,Neutral,'
I’m not feeling anything in particular.,Neutral,Neutral,'
"I’m not angry or sad, just quiet.",Neutral,Neutral,'
I don’t really care one way or the other.,Neutral,Neutral,'
I’m not worried about it.,Neutral,Neutral,'
I’m not bothered at all.,Neutral,Neutral,'
I don’t have strong feelings either way.,Neutral,Neutral,'
"I’m not down, just neutral.",Neutral,Neutral,'
I don’t feel anxious anymore.,Neutral,Neutral,'
"I’m not mad or anything, just fine.",Neutral,Neutral,'
"I’m not sulking, just lost in thought.",Neutral,Neutral,'
"I don’t feel bad, just not excited either.",Neutral,Neutral,'
I’m not feeling sad like before.,Neutral,Neutral,'
"I’m not scared, just cautious.",Neutral,Neutral,'
I’m not emotional right now.,Neutral,Neutral,'
I don’t feel low today.,Neutral,Neutral,'
I’m not experiencing any distress.,Neutral,Neutral,'
"I’m still awake, doing absolutely nothing",Neutral,Neutral,'
"I'm just existing, not feeling.",Neutral,Neutral,'
I don't feel anything in particular.,Neutral,Neutral,'
My emotions are off right now.,Neutral,Neutral,'
"I'm not sad, I just feel blank.",Neutral,Neutral,'
I’m emotionally neutral today.,Neutral,Neutral,'
"No ups or downs, just flat.",Neutral,Neutral,'
not sad not happy,Neutral,Neutral,'
I’m tired but I want to keep going,Neutral,Neutral,'
"I feel drowsy, yet I can’t seem to rest",Neutral,Neutral,'
"I need sleep, but I’m not in the mood to lie down",Neutral,Neutral,'
"My eyes are heavy, but my mind is wide awake",Neutral,Neutral,'
"I should sleep now, but I don’t feel like it",Neutral,Neutral,'
I’m exhausted but still scrolling on my phone,Neutral,Neutral,'
"I’m lying in bed, but not ready to sleep",Neutral,Neutral,'
"I could sleep, but I’d rather stay up and do nothing",Neutral,Neutral,'
I’m feeling lazy but don’t want to nap,Neutral,Neutral,'
"My body wants sleep, but my thoughts won’t let me",Neutral,Neutral,'
I’m hungry but too lazy to get food,Neutral,Neutral,'
I feel thirsty but don’t want to get up,Neutral,Neutral,'
I’m bored but don’t feel like doing anything,Neutral,Neutral,'
I’m restless but not anxious,Neutral,Neutral,'
I want to move but I’m stuck in my seat,Neutral,Neutral,'
I feel nothing in particular — just existing,Neutral,Neutral,'
I’m awake for no reason,Neutral,Neutral,'
I’m lying down but not planning to sleep,Neutral,Neutral,'
I feel stuck between tired and alert,Neutral,Neutral,'
"I want to close my eyes, but not fall asleep",Neutral,Neutral,'
"I’m sitting in silence, just thinking",Neutral,Neutral,'
"I’m not sad, not happy, just here",Neutral,Neutral,'
"I’m zoning out, not feeling anything specific",Neutral,Neutral,'
I’m aware I’m tired but doing nothing about it,Neutral,Neutral,'
"I’m waiting for something to happen, but I don’t know what",Neutral,Neutral,'
I’m not in the mood for anything right now,Neutral,Neutral,'
I feel nothing dramatic — just meh,Neutral,Neutral,'
I’m just passing time with no purpose,Neutral,Neutral,'
I feel blank but not upset,Neutral,Neutral,'
I am sick of waiting in long lines  ,Negative,Anger,Low
Why is this app so slow all the time  ,Negative,Anger,Low
I can’t stand how noisy my neighbors are  ,Negative,Anger,Moderate
I’m getting really annoyed with these constant notifications  ,Negative,Anger,Moderate
I’m fed up with these daily meetings  ,Negative,Anger,Moderate
This broken elevator is driving me crazy  ,Negative,Anger,Moderate
I hate how disorganized this place is  ,Negative,Anger,Moderate
Why do people keep cutting me off in traffic  ,Negative,Anger,Moderate
I’m tired of repeating myself over and over  ,Negative,Anger,Low
I don’t have patience for this nonsense anymore  ,Negative,Anger,High
I can't deal with this delay again  ,Negative,Anger,Moderate
This internet keeps dropping every five minutes  ,Negative,Anger,Low
I’m irritated by how messy this desk is  ,Negative,Anger,Moderate
I’ve had enough of these constant interruptions  ,Negative,Anger,Moderate
I can’t believe how late the bus is again  ,Negative,Anger,Moderate
I’m frustrated with how long this takes  ,Negative,Anger,High
I'm sick of being stuck indoors  ,Negative,Anger,Moderate
I’m done arguing about the same thing every day  ,Negative,Anger,High
I’m annoyed that no one listens  ,Negative,Anger,Moderate
I can’t stand the noise in this building  ,Negative,Anger,Moderate
Life doesn’t always go as planned and that’s okay,Neutral,Neutral,'
Every day brings something new good or bad,Neutral,Neutral,'
Sometimes we win sometimes we learn,Neutral,Neutral,'
Not every day is easy but every day teaches something,Neutral,Neutral,'
Challenges are just part of the journey,Neutral,Neutral,'
There’s no growth without struggle,Neutral,Neutral,'
It’s all part of the process,Neutral,Neutral,'
Some days are tough others are peaceful that’s life,Neutral,Neutral,'
We can’t control everything only how we respond,Neutral,Neutral,'
Every moment good or bad passes eventually,Neutral,Neutral,'
Life has its highs and lows,Neutral,Neutral,'
Nothing stays the same forever,Neutral,Neutral,'
Storms make the roots grow deeper,Neutral,Neutral,'
Even the darkest night ends with sunrise,Neutral,Neutral,'
Change is the only constant in life,Neutral,Neutral,'
Each chapter has its purpose,Neutral,Neutral,'
Ups and downs shape who we become,Neutral,Neutral,'
Progress is not always in a straight line,Neutral,Neutral,'
Sometimes standing still is moving forward,Neutral,Neutral,'
We live we learn we grow,Neutral,Neutral,'
I argued with my sister and now I feel down.,Negative,Sad,Moderate
I had a fight with my best friend and it really hurts.,Negative,Sad,Moderate
I'm upset because my parents scolded me.,Negative,Sad,Moderate
"After our disagreement, I feel emotionally drained.",Negative,Sad,Moderate
I feel low because I shouted at my mom.,Negative,Sad,Moderate
I feel disappointed after the argument with my cousin.,Negative,Sad,Moderate
We had a misunderstanding and now I regret it.,Negative,Sad,Moderate
I’m sad that we stopped talking after our quarrel.,Negative,Sad,Moderate
I wish I hadn’t raised my voice during the argument.,Negative,Sad,Moderate
I feel guilty for fighting with someone I care about.,Negative,Sad,Moderate
The conflict with my family left me feeling bad.,Negative,Sad,Moderate
I’m feeling off after our tense conversation.,Negative,Sad,Moderate
I’m disappointed in myself for how I reacted.,Negative,Sad,Moderate
"I didn’t mean to argue, but now I feel miserable.",Negative,Sad,Moderate
Our argument left me with a heavy heart.,Negative,Sad,Moderate
I feel emotionally hurt after the quarrel.,Negative,Sad,Moderate
The fight ruined my entire mood today.,Negative,Sad,Moderate
I’m heartbroken over what happened between us.,Negative,Sad,Moderate
I wish things hadn’t ended with a fight.,Negative,Sad,Moderate
I’m feeling lost after our fallout.,Negative,Sad,Moderate
I feel indifferent to everything around me.,Neutral,Neutral,'
There’s no strong emotion in me right now.,Neutral,Neutral,'
"I’m just existing, not feeling anything.",Neutral,Neutral,'
I’m emotionally still.,Neutral,Neutral,'
I’m not reacting much inside.,Neutral,Neutral,'
I’m blank.,Neutral,Neutral,'
I don’t feel happy or sad.,Neutral,Neutral,'
Nothing seems to stir my emotions today.,Neutral,Neutral,'
I’m floating through the day without emotion.,Neutral,Neutral,'
There’s no particular feeling in me right now.,Neutral,Neutral,'
I’m just passing time without any feeling.,Neutral,Neutral,'
I’m detached from everything emotionally.,Neutral,Neutral,'
"My mind feels quiet, like nothing matters.",Neutral,Neutral,'
I’m neither up nor down—just flat.,Neutral,Neutral,'
There’s no emotional movement in me.,Neutral,Neutral,'
I feel like a blank slate today.,Neutral,Neutral,'
"I’m going through the motions, not feeling anything.",Neutral,Neutral,'
"Emotionally, I’m turned off.",Neutral,Neutral,'
I’m in a numb state of mind.,Neutral,Neutral,'
I can’t tell what I feel—it’s just... nothing.,Neutral,Neutral,'
I'm not as excited about things as I used to be.,Negative,Depression,Low
I feel a little down lately.,Negative,Depression,Low
I just want some quiet time to myself.,Negative,Depression,Low
"Sometimes I feel off, but I can't explain why.",Negative,Depression,Low
I feel like I'm losing interest in things slowly.,Negative,Depression,Low
I’ve been feeling disconnected recently.,Negative,Depression,Low
I’m finding it harder to stay focused.,Negative,Depression,Low
I don’t feel like talking much these days.,Negative,Depression,Low
"I’m not sad, just not fully okay either.",Negative,Depression,Low
I have less energy than usual.,Negative,Depression,Low
"Lately, I feel emotionally distant.",Negative,Depression,Low
"I feel numb sometimes, but I manage.",Negative,Depression,Low
I'm tired but not just physically.,Negative,Depression,Low
I've lost interest in small joys.,Negative,Depression,Low
I don’t laugh as much as I used to.,Negative,Depression,Low
Sometimes I want to be alone without a reason.,Negative,Depression,Low
It’s hard to get excited about plans.,Negative,Depression,Low
Things feel a bit dull lately.,Negative,Depression,Low
I zone out a lot these days.,Negative,Depression,Low
"I feel slower, emotionally and mentally.",Negative,Depression,Low
It's getting harder to get through the day.,Negative,Depression,Moderate
I feel stuck in my routine.,Negative,Depression,Moderate
I don't enjoy things I used to.,Negative,Depression,Moderate
Most days feel like a struggle.,Negative,Depression,Moderate
I feel like I’m fading away inside.,Negative,Depression,Moderate
"I’m here, but I don’t feel present.",Negative,Depression,Moderate
I keep pretending I’m okay.,Negative,Depression,Moderate
I feel like crying for no reason.,Negative,Depression,Moderate
Motivation comes and goes without warning.,Negative,Depression,Moderate
I’m emotionally exhausted most of the time.,Negative,Depression,Moderate
I feel like a heavy fog surrounds me.,Negative,Depression,Moderate
I don’t recognize myself anymore.,Negative,Depression,Moderate
I feel emotionally unstable lately.,Negative,Depression,Moderate
I'm constantly tired no matter how much I rest.,Negative,Depression,Moderate
My thoughts are overwhelming.,Negative,Depression,Moderate
I isolate myself without meaning to.,Negative,Depression,Moderate
Even small tasks feel like mountains.,Negative,Depression,Moderate
Nothing brings me comfort anymore.,Negative,Depression,Moderate
I fake smiles more than I give real ones.,Negative,Depression,Moderate
I feel like I’m watching my life from outside.,Negative,Depression,Moderate
I feel like I’m drowning with no way out.,Negative,Depression,High
I have lost all sense of hope.,Negative,Depression,High
It feels like I’m disappearing.,Negative,Depression,High
I don’t want to wake up in the morning.,Negative,Depression,High
I feel like I’m broken beyond repair.,Negative,Depression,High
Everything feels pointless.,Negative,Depression,High
There’s a deep sadness I can’t escape.,Negative,Depression,High
I feel completely alone in the world.,Negative,Depression,High
I can't remember the last time I felt okay.,Negative,Depression,High
Even breathing feels like a chore.,Negative,Depression,High
I feel like I don’t matter to anyone.,Negative,Depression,High
I'm emotionally numb and dead inside.,Negative,Depression,High
The pain is constant and exhausting.,Negative,Depression,High
I can't imagine things getting better.,Negative,Depression,High
I’ve lost the will to keep fighting.,Negative,Depression,High
I’m overwhelmed by emptiness.,Negative,Depression,High
No one sees how much I'm struggling.,Negative,Depression,High
I don’t see the point in anything anymore.,Negative,Depression,High
I wish I could just disappear.,Negative,Depression,High
My mind is a battlefield I can’t escape.,Negative,Depression,High
Today feels like a fresh start.,Positive,Happy,'
I’m grateful for everything I have.,Positive,Happy,'
Life is full of beautiful surprises.,Positive,Happy,'
I’m proud of how far I’ve come.,Positive,Happy,'
I believe in myself completely.,Positive,Happy,'
I feel genuinely happy today.,Positive,Happy,'
I’m excited for what the future holds.,Positive,Happy,'
My heart feels light and full of joy.,Positive,Happy,'
I’m surrounded by love and support.,Positive,Happy,'
Every day brings new opportunities.,Positive,Happy,'
I feel confident and capable.,Positive,Happy,'
I’m at peace with who I am.,Positive,Happy,'
The world feels full of possibility.,Positive,Happy,'
I radiate positivity and warmth.,Positive,Happy,'
I’m growing stronger every day.,Positive,Happy,'
Everything is falling into place.,Positive,Happy,'
I choose happiness over fear.,Positive,Happy,'
I feel energized and focused.,Positive,Happy,'
My life is moving in the right direction.,Positive,Happy,'
I’m enjoying the little things in life.,Positive,Happy,'
I trust myself to handle anything.,Positive,Happy,'
I feel deeply connected to those I love.,Positive,Happy,'
There’s so much beauty in the world.,Positive,Happy,'
I wake up feeling refreshed and hopeful.,Positive,Happy,'
Joy comes easily to me now.,Positive,Happy,'
I’m smiling for no reason at all.,Positive,Happy,'
I feel aligned with my goals.,Positive,Happy,'
I’m proud of my progress and growth.,Positive,Happy,'
The day is going better than I expected.,Positive,Happy,'
I feel a sense of calm and clarity.,Positive,Happy,'
My mind is full of good thoughts.,Positive,Happy,'
I’m in love with the life I’m living.,Positive,Happy,'
There’s magic in every moment.,Positive,Happy,'
I see the good in every situation.,Positive,Happy,'
I’m glowing from the inside out.,Positive,Happy,'
Today is a gift I cherish deeply.,Positive,Happy,'
I’m laughing more and stressing less.,Positive,Happy,'
My dreams feel within reach.,Positive,Happy,'
I attract positive energy naturally.,Positive,Happy,'
I’m surrounded by positivity.,Positive,Happy,'
Each breath fills me with peace.,Positive,Happy,'
I’m full of motivation and joy.,Positive,Happy,'
Everything is working out for me.,Positive,Happy,'
I’m grateful for my journey so far.,Positive,Happy,'
I bring joy to those around me.,Positive,Happy,'
I’m proud of the life I’m creating.,Positive,Happy,'
Good things are happening to me.,Positive,Happy,'
I feel genuinely fulfilled today.,Positive,Happy,'
Happiness flows through me freely.,Positive,Happy,'
I trust the timing of my life.,Positive,Happy,'
I feel balanced and grounded.,Positive,Happy,'
My inner peace is unshakable.,Positive,Happy,'
"I celebrate all my wins, big and small.",Positive,Happy,'
"I’m loved, worthy, and enough.",Positive,Happy,'
I’m exactly where I’m meant to be.,Positive,Happy,'
Smiling feels natural to me.,Positive,Happy,'
I am thriving in every way.,Positive,Happy,'
My life is rich with purpose and joy.,Positive,Happy,'
Today is full of light and laughter.,Positive,Happy,'
Get Out,Negative,Anger,High
